time,seconds_elapsed,z,y,x
1784194466351423000,0.132423095703125,6.070050239562988,7.701000213623047,-0.1189500093460083
1784194466361524200,0.142524169921875,6.070050239562988,7.701000213623047,-0.11700000613927841
1784194466371678700,0.1526787109375,6.060000419616699,7.701000213623047,-0.11400000751018524
1784194466381666000,0.162666015625,6.060000419616699,7.69605016708374,-0.11700000613927841
1784194466391767300,0.172767333984375,6.067050457000732,7.701000213623047,-0.11700000613927841
1784194466401838000,0.182838134765625,6.063000202178955,7.702950477600098,-0.12195000797510147
1784194466411939300,0.192939208984375,6.060000419616699,7.701000213623047,-0.12405000627040863
1784194466422098700,0.2030986328125,6.064950466156006,7.701000213623047,-0.11700000613927841
1784194466432183000,0.21318310546875,6.067050457000732,7.7059502601623535,-0.11400000751018524
1784194466442267000,0.223266845703125,6.064950466156006,7.7059502601623535,-0.1189500093460083
1784194466452351000,0.23335107421875,6.067050457000732,7.698000431060791,-0.12195000797510147
1784194466462324000,0.243323974609375,6.064950466156006,7.702950477600098,-0.1189500093460083
1784194466472519000,0.253518798828125,6.055050373077393,7.701000213623047,-0.11400000751018524
1784194466482526700,0.263526611328125,6.055050373077393,7.698000431060791,-0.11400000751018524
1784194466492567000,0.273567138671875,6.060000419616699,7.701000213623047,-0.1189500093460083
1784194466502668300,0.283668212890625,6.058050155639648,7.701000213623047,-0.1189500093460083
1784194466512739000,0.293739013671875,6.058050155639648,7.7059502601623535,-0.11400000751018524
1784194466522939000,0.30393896484375,6.063000202178955,7.7059502601623535,-0.11205000430345535
1784194466532941800,0.31394189453125,6.060000419616699,7.7059502601623535,-0.11700000613927841
1784194466543106800,0.32410693359375,6.058050155639648,7.702950477600098,-0.1189500093460083
1784194466553083400,0.33408349609375,6.058050155639648,7.698000431060791,-0.1099500060081482
1784194466563275000,0.34427490234375,6.060000419616699,7.698000431060791,-0.11205000430345535
1784194466573359000,0.354359130859375,6.063000202178955,7.702950477600098,-0.12405000627040863
1784194466583357000,0.36435693359375,6.055050373077393,7.701000213623047,-0.12195000797510147
1784194466593458200,0.374458251953125,6.058050155639648,7.702950477600098,-0.1189500093460083
1784194466603529000,0.384529052734375,6.067050457000732,7.70805025100708,-0.11400000751018524
1784194466613630200,0.394630126953125,6.070050239562988,7.701000213623047,-0.11205000430345535
1784194466623701000,0.404700927734375,6.064950466156006,7.701000213623047,-0.11700000613927841
1784194466633741300,0.4147412109375,6.058050155639648,7.698000431060791,-0.1099500060081482
1784194466643842600,0.424842529296875,6.067050457000732,7.698000431060791,-0.1099500060081482
1784194466653913300,0.434913330078125,6.072000503540039,7.702950477600098,-0.1189500093460083
1784194466664115000,0.445114990234375,6.064950466156006,7.702950477600098,-0.1189500093460083
1784194466674199000,0.455198974609375,6.067050457000732,7.702950477600098,-0.11400000751018524
1784194466684283000,0.465282958984375,6.075000286102295,7.70805025100708,-0.1189500093460083
1784194466694288100,0.4752880859375,6.064950466156006,7.701000213623047,-0.12405000627040863
1784194466704389400,0.485389404296875,6.063000202178955,7.701000213623047,-0.11400000751018524
1784194466714429700,0.4954296875,6.075000286102295,7.7059502601623535,-0.11205000430345535
1784194466724619000,0.505618896484375,6.075000286102295,7.701000213623047,-0.11700000613927841
1784194466734632400,0.515632568359375,6.064950466156006,7.69605016708374,-0.11700000613927841
1784194466744672800,0.5256728515625,6.070050239562988,7.701000213623047,-0.1099500060081482
1784194466754804200,0.53580419921875,6.072000503540039,7.702950477600098,-0.11205000430345535
1784194466764875300,0.545875244140625,6.067050457000732,7.701000213623047,-0.1189500093460083
1784194466775039000,0.5560390625,6.067050457000732,7.701000213623047,-0.1189500093460083
1784194466785123000,0.566123046875,6.067050457000732,7.701000213623047,-0.12195000797510147
1784194466795207000,0.57620703125,6.064950466156006,7.698000431060791,-0.11700000613927841
1784194466805188900,0.58618896484375,6.060000419616699,7.701000213623047,-0.11400000751018524
1784194466815290000,0.5962900390625,6.063000202178955,7.702950477600098,-0.11400000751018524
1784194466825361000,0.60636083984375,6.067050457000732,7.7059502601623535,-0.11700000613927841
1784194466835431700,0.616431640625,6.060000419616699,7.702950477600098,-0.12195000797510147
1784194466845627000,0.626626953125,6.060000419616699,7.7059502601623535,-0.12600000202655792
1784194466855634400,0.636634521484375,6.067050457000732,7.702950477600098,-0.11700000613927841
1784194466865705200,0.646705322265625,6.070050239562988,7.702950477600098,-0.11700000613927841
1784194466875776000,0.65677587890625,6.063000202178955,7.7059502601623535,-0.12195000797510147
1784194466885877500,0.66687744140625,6.064950466156006,7.701000213623047,-0.11400000751018524
1784194466896047000,0.677047119140625,6.075000286102295,7.701000213623047,-0.10695000737905502
1784194466906131200,0.687131103515625,6.072000503540039,7.701000213623047,-0.11400000751018524
1784194466916215000,0.697215087890625,6.070050239562988,7.698000431060791,-0.12195000797510147
1784194466926221600,0.7072216796875,6.075000286102295,7.701000213623047,-0.11205000430345535
1784194466936292400,0.717292236328125,6.072000503540039,7.701000213623047,-0.11205000430345535
1784194466946467000,0.727467041015625,6.067050457000732,7.701000213623047,-0.1189500093460083
1784194466956434000,0.737433837890625,6.075000286102295,7.7059502601623535,-0.12405000627040863
1784194466966565600,0.747565673828125,6.079050064086914,7.70805025100708,-0.11400000751018524
